sender,recipient,topic,tone
Tosin,Hiring Manager,Application follow-up,formal
Tosin,Kemi,Lunch plans,friendly
Tosin,Professor Adams,Research collaboration,formal
Tosin,Sarah,Birthday party invite,friendly
Tosin,IT Support,VPN not connecting,urgent
Tosin,Team,Sprint retrospective notes,neutral
Tosin,Client Services,Contract renewal,formal
Tosin,David,Weekend hiking trip,friendly
Tosin,Finance,Expense report submission,formal
Tosin,Alex,Book recommendation,friendly
Tosin,HR,Remote work request,formal
Tosin,Marketing,Campaign feedback,neutral
